"Drugs","MOA","Target","Phase","pert_id","moa_brd","moa_final","moa_manual"
"belinostat","HDAC inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9","Launched","BRD-K17743125","HDAC inhibitor","HDAC inhibitor",NA
"benazepril hydrochloride","angiotensin converting enzyme inhibitor","ACE","Launched","BRD-K49807096",NA,"angiotensin converting enzyme inhibitor",NA
"bendroflumethiazide","sodium/potassium/chloride transporter inhibitor","SLC12A1, SLC12A3","Launched","BRD-A80017228","sodium/potassium/chloride transporter inhibitor","sodium/potassium/chloride transporter inhibitor",NA
"benoxinate hydrochloride",NA,NA,NA,NA,NA,NA,NA
"benperidol","dopamine receptor antagonist","DRD2","Launched","BRD-K79425933","dopamine receptor antagonist","dopamine receptor antagonist",NA
"benzamil hydrochloride","sodium channel blocker","ASIC1, PKD2L1, SCNN1A, SCNN1B, SCNN1D, SCNN1G, SLC8A1","Phase 2","BRD-K97688263",NA,"sodium channel blocker",NA
"benzethonium chloride","sodium channel blocker","SCN10A","Launched","BRD-K72723676","sodium channel blocker","sodium channel blocker",NA
"benzo[a]pyrene",NA,NA,NA,NA,NA,NA,NA
"benzonatate","local anesthetic","SCN5A","Launched","BRD-K91699951","local anesthetic","local anesthetic",NA
"benzopurpurin (b)",NA,NA,NA,NA,NA,NA,NA
"benzoxiquine","antiinfective drug","","Preclinical","BRD-K70327191","antiinfective drug","antiinfective drug",NA
"bepridil hydrochloride","calcium channel blocker","KCNQ4","Launched","BRD-A91008255","calcium channel blocker","calcium channel blocker",NA
"beta-escin",NA,NA,NA,NA,NA,NA,NA
"betamethasone","glucocorticoid receptor agonist","NR3C1","Launched","BRD-K39188321",NA,"glucocorticoid receptor agonist",NA
"betamethasone-acetate","glucocorticoid receptor agonist","NR3C1","Launched",NA,NA,"glucocorticoid receptor agonist",NA
"betamethasone 17,21-dipropionate",NA,NA,NA,NA,NA,NA,NA
"betaxolol hydrochloride","adrenergic receptor antagonist","ADRB1, ADRB2","Launched","BRD-A02759312","adrenergic receptor antagonist","adrenergic receptor antagonist",NA
"bg-fa-0953",NA,NA,NA,"BRD-K83643280","Unknown","Unknown",NA
"bh3i-1",NA,NA,NA,"BRD-A38913120","Unknown","Unknown",NA
"bi-2536","PLK inhibitor","BRD4, PLK1, PLK2, PLK3","Phase 2","BRD-K64890080","PLK inhibitor","PLK inhibitor",NA
"bi 2536","PLK inhibitor","BRD4, PLK1, PLK2, PLK3","Phase 2","BRD-U70626184","PLK inhibitor","PLK inhibitor",NA
"bibr1532",NA,NA,NA,NA,NA,NA,NA
"bibu 1361 dihydrochloride","EGFR inhibitor","EGFR","Preclinical","BRD-K49294207","EGFR inhibitor","EGFR inhibitor",NA
"bibx 1382 dihydrochloride","EGFR inhibitor","EGFR, ERBB2","Phase 1","BRD-K70914287","EGFR inhibitor","EGFR inhibitor","EGFR inhibitor"
"bifemelane hydrochloride","acetylcholine release enhancer","MAOA, MAOB","Launched","BRD-K18779551","acetylcholine release enhancer","acetylcholine release enhancer",NA
"bifonazole","sterol demethylase inhibitor","","Launched","BRD-A94543220","sterol demethylase inhibitor","sterol demethylase inhibitor",NA
"biperiden","acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5","Launched","BRD-A36471396","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"biperiden hydrochloride","acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5","Launched","BRD-A36471396","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"bis-tyrphostin",NA,NA,NA,"BRD-K32906660","Unknown","Unknown",NA
"bisacodyl","laxative","","Launched","BRD-K39987650","laxative","laxative",NA
"bisindolylmaleimide iv",NA,NA,NA,"BRD-K31342827","PKC inhibitor","PKC inhibitor",NA
"bithionate sodium",NA,NA,NA,NA,NA,"autotaxin inhibitor","autotaxin inhibitor"
"bix-01294","histone lysine methyltransferase inhibitor","EHMT1, EHMT2","Preclinical","BRD-K26818574","histone lysine methyltransferase inhibitor","histone lysine methyltransferase inhibitor",NA
"bix-02189","MEK inhibitor","MAP2K5, MAPK7","Preclinical","BRD-K73368362","MEK inhibitor","MEK inhibitor",NA
"bjm-af-64 brd-k14324645",NA,NA,NA,"BRD-K14324645","Unknown","Unknown",NA
"bjm-csc-19 brd-k92817986",NA,NA,NA,"BRD-K92817986","Unknown","Unknown",NA
"bjm-ctd2-9",NA,NA,NA,NA,NA,NA,NA
"bl-008",NA,NA,NA,NA,NA,NA,NA
"bl-009",NA,NA,NA,NA,NA,NA,NA
"bl-010",NA,NA,NA,NA,NA,"Unknown","Unknown"
"bl-051",NA,NA,NA,NA,NA,NA,NA
"bl-052",NA,NA,NA,NA,NA,NA,NA
"bl-073",NA,NA,NA,NA,NA,NA,NA
"bl-076",NA,NA,NA,NA,NA,NA,NA
"bl-077",NA,NA,NA,"BRD-A38878059","Unknown","Unknown",NA
"bl-079",NA,NA,NA,NA,NA,NA,NA
"bl-081",NA,NA,NA,NA,NA,NA,NA
"bl-095",NA,NA,NA,NA,NA,NA,NA
"blebbistatin",NA,NA,NA,"BRD-A75817871","ATPase inhibitor","ATPase inhibitor",NA
"bml-190","cannabinoid receptor inverse agonist","CNR2","Preclinical","BRD-K94379058","cannabinoid receptor inverse agonist","cannabinoid receptor inverse agonist",NA
"bml-257",NA,NA,NA,"BRD-K32584078","Unknown","Unknown",NA
"bml-259",NA,NA,NA,"BRD-K71799778","Unknown","Unknown",NA
"bml-st330",NA,NA,NA,"BRD-A77118605","phospholipase inhibitor","phospholipase inhibitor",NA
"bms-191011","potassium channel activator","KCNMA1","Preclinical","BRD-K95609758","potassium channel activator","potassium channel activator",NA
"bms-299897","gamma secretase inhibitor","","Phase 1","BRD-K02950022","gamma secretase inhibitor","gamma secretase inhibitor",NA
"bms-345541","IKK inhibitor","CHUK, IKBKB","Preclinical","BRD-K13566078","IKK inhibitor","IKK inhibitor",NA
"BMS-345541",NA,NA,NA,NA,NA,"IKK inhibitor","IKK inhibitor"
"bms-387032","CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor","CDK2, CDK7, CDK9","Phase 1","BRD-K43389698","CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor","CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor",NA
"bms-509744",NA,NA,NA,"BRD-K12811596",NA,"ITK inhibitor","ITK inhibitor"
"bms-536924","IGF-1 inhibitor","AKT1, CCNE1, CDK2, CYP3A4, ERBB2, IGF1R, KDR, LCK, MAPK1, MET, PDGFRA, PDGFRB","Preclinical","BRD-K34581968","IGF-1 inhibitor","IGF-1 inhibitor",NA
"bms-641988",NA,NA,NA,"BRD-K48923948","Unknown","Unknown",NA
"bms-754807","IGF-1 inhibitor","AKT1, IGF1R","Phase 2","BRD-K13049116","IGF-1 inhibitor","IGF-1 inhibitor",NA
"bms-777607","AXL kinase inhibitor, c-Met inhibitor, FLT3 inhibitor, hepatocyte growth factor receptor inhibitor, macrophage migration inhibiting factor inhibitor, tyrosine kinase inhibitor","AXL, MERTK, MET, MST1R, TYRO3","Phase 1/Phase 2","BRD-K40738845","AXL kinase inhibitor, c-Met inhibitor, FLT3 inhibitor, hepatocyte growth factor receptor inhibitor, macrophage migration inhibiting factor inhibitor, tyrosine kinase inhibitor","AXL kinase inhibitor, c-Met inhibitor, FLT3 inhibitor, hepatocyte growth factor receptor inhibitor, macrophage migration inhibiting factor inhibitor, tyrosine kinase inhibitor",NA
"bms 182874 hydrochloride","endothelin receptor antagonist","EDNRA","Phase 2","BRD-K56509348","endothelin receptor antagonist","endothelin receptor antagonist",NA
"bmy-45778","IP1 prostacyclin receptor agonist","PTGIR","Preclinical","BRD-K84895041","IP1 prostacyclin receptor agonist","IP1 prostacyclin receptor agonist",NA
"bmy 14802 hydrochloride","sigma receptor antagonist","HTR1A","Phase 2","BRD-A15435692","sigma receptor antagonist","sigma receptor antagonist",NA
"bmy 7378 dihydrochloride","adrenergic receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA1D, HTR1A","Preclinical","BRD-K31054881","adrenergic receptor antagonist, serotonin receptor antagonist","adrenergic receptor antagonist, serotonin receptor antagonist",NA
"bntx maleate","opioid receptor antagonist","OPRD1, OPRK1, OPRM1","Preclinical","BRD-A55484088","opioid receptor antagonist","opioid receptor antagonist","opioid receptor antagonist"
"boldine",NA,NA,NA,"BRD-K03440695","Unknown","Unknown",NA
"bongkrekic acid",NA,NA,NA,NA,NA,NA,NA
"bortezomib","NFkB pathway inhibitor, proteasome inhibitor","PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMD1, PSMD2, RELA","Launched","BRD-K50691590","NFkB pathway inhibitor, proteasome inhibitor","NFkB pathway inhibitor, proteasome inhibitor",NA
"bosutinib","Abl kinase inhibitor, Bcr-Abl kinase inhibitor, SRC inhibitor","ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK","Launched","BRD-K99964838","Abl kinase inhibitor, Bcr-Abl kinase inhibitor, src inhibitor","Abl kinase inhibitor, Bcr-Abl kinase inhibitor, SRC inhibitor",NA
"bp 554 maleate","serotonin receptor agonist","HTR1A","Preclinical","BRD-K45479396","serotonin receptor agonist","serotonin receptor agonist",NA
"brazilin",NA,NA,NA,"BRD-A83326220","Unknown","Unknown",NA
"brd-a00420644",NA,NA,NA,"BRD-A00420644","Unknown","Unknown",NA
"brd-a01317026",NA,NA,NA,"BRD-A01317026","Unknown","Unknown",NA
"brd-a01973626",NA,NA,NA,"BRD-A01973626","Unknown","Unknown",NA
"brd-a03323675",NA,NA,NA,"BRD-A03323675","HIV protease inhibitor","HIV protease inhibitor",NA
"brd-a03926027",NA,NA,NA,"BRD-A03926027","Unknown","Unknown",NA
"brd-a04308630",NA,NA,NA,"BRD-A04308630","choleretic agent","choleretic agent",NA
"brd-a05565054",NA,NA,NA,"BRD-A05565054","Unknown","Unknown",NA
"brd-a06641369",NA,NA,NA,"BRD-A06641369","Unknown","Unknown",NA
"brd-a06664848",NA,NA,NA,"BRD-A06664848","Unknown","Unknown",NA
"brd-a06929388",NA,NA,NA,"BRD-A06929388","Unknown","Unknown",NA
"brd-a07614565",NA,NA,NA,"BRD-A07614565","Unknown","Unknown",NA
"brd-a09495397",NA,NA,NA,"BRD-A09495397","Unknown","Unknown",NA
"brd-a10330754",NA,NA,NA,"BRD-A10330754","Unknown","Unknown",NA
"brd-a10523515",NA,NA,NA,"BRD-A10523515","rho associated kinase inhibitor","rho associated kinase inhibitor",NA
"brd-a11087911",NA,NA,NA,"BRD-A11087911","Unknown","Unknown",NA
"brd-a11095214",NA,NA,NA,"BRD-A11095214","Unknown","Unknown",NA
"brd-a11702965",NA,NA,NA,"BRD-A11702965","Unknown","Unknown",NA
"brd-a11929187",NA,NA,NA,"BRD-A11929187","Unknown","Unknown",NA
"brd-a12083771",NA,NA,NA,"BRD-A12083771","Unknown","Unknown",NA
"brd-a12409803",NA,NA,NA,"BRD-A12409803","androgen biosynthesis inhibitor, androgen receptor antagonist, cytochrome P450 inhibitor","androgen biosynthesis inhibitor, androgen receptor antagonist, cytochrome P450 inhibitor",NA
"brd-a12633378",NA,NA,NA,"BRD-A12633378","Unknown","Unknown",NA
"brd-a13195221",NA,NA,NA,"BRD-A13195221","Unknown","Unknown",NA
"brd-a13914662",NA,NA,NA,"BRD-A13914662","Unknown","Unknown",NA
"brd-a14985772",NA,NA,NA,"BRD-A14985772","Unknown","Unknown",NA
"brd-a15010982",NA,NA,NA,"BRD-A15010982","Unknown","Unknown",NA
"brd-a15914070",NA,NA,NA,"BRD-A15914070","Unknown","Unknown",NA
"brd-a16581344",NA,NA,NA,"BRD-A16581344","Unknown","Unknown",NA
"brd-a16820783",NA,NA,NA,"BRD-A16820783","Unknown","Unknown",NA
"brd-a17718497",NA,NA,NA,"BRD-A17718497","Unknown","Unknown",NA
"brd-a18411371",NA,NA,NA,"BRD-A18411371","Unknown","Unknown",NA
"brd-a18725729",NA,NA,NA,"BRD-A18725729","Unknown","Unknown",NA
"brd-a18763547",NA,NA,NA,"BRD-A18763547","cytochrome C release inhibitor","cytochrome C release inhibitor",NA
"brd-a19248578",NA,NA,NA,"BRD-A19248578","actin polymerization inhibitor","actin polymerization inhibitor",NA
"brd-a20589515",NA,NA,NA,"BRD-A20589515","glutamate receptor agonist","glutamate receptor agonist",NA
"brd-a20697603",NA,NA,NA,"BRD-A20697603","FOXM1 inhibitor, protein synthesis inhibitor","FOXM1 inhibitor, protein synthesis inhibitor",NA
"brd-a24054354",NA,NA,NA,"BRD-A24054354","Unknown","Unknown",NA
"brd-a25088322",NA,NA,NA,"BRD-A25088322","Unknown","Unknown",NA
"brd-a25170757",NA,NA,NA,"BRD-A25170757","Unknown","Unknown",NA
"brd-a25337146",NA,NA,NA,"BRD-A25337146","Unknown","Unknown",NA
"brd-a26199074",NA,NA,NA,"BRD-A26199074","Unknown","Unknown",NA
"brd-a27640568",NA,NA,NA,"BRD-A27640568","Unknown","Unknown",NA
"brd-a28422330",NA,NA,NA,"BRD-A28422330","Unknown","Unknown",NA
"brd-a30395175",NA,NA,NA,"BRD-A30395175","Unknown","Unknown",NA
"brd-a30455275",NA,NA,NA,"BRD-A30455275","Unknown","Unknown",NA
"brd-a31107743",NA,NA,NA,"BRD-A31107743","protein synthesis inhibitor","protein synthesis inhibitor",NA
"brd-a31312900",NA,NA,NA,"BRD-A31312900","leukotriene receptor antagonist","leukotriene receptor antagonist",NA
"brd-a31374339",NA,NA,NA,"BRD-A31374339","ribonucleotide reductase inhibitor","ribonucleotide reductase inhibitor",NA
"brd-a32214171",NA,NA,NA,"BRD-A32214171","Unknown","Unknown",NA
"brd-a32449311",NA,NA,NA,"BRD-A32449311","Unknown","Unknown",NA
"brd-a35020550",NA,NA,NA,"BRD-A35020550","Unknown","Unknown",NA
"brd-a36059655",NA,NA,NA,"BRD-A36059655","Unknown","Unknown",NA
"brd-a36630025",NA,NA,NA,"BRD-A36630025","topoisomerase inhibitor","topoisomerase inhibitor",NA
"brd-a37735495",NA,NA,NA,"BRD-A37735495","Unknown","Unknown",NA
"brd-a39121618",NA,NA,NA,"BRD-A39121618","Unknown","Unknown",NA
"brd-a40431293",NA,NA,NA,"BRD-A40431293","Unknown","Unknown",NA
"brd-a41250203",NA,NA,NA,"BRD-A41250203","Unknown","Unknown",NA
"brd-a41451487",NA,NA,NA,"BRD-A41451487","benzodiazepine receptor antagonist","benzodiazepine receptor antagonist",NA
"brd-a42737819",NA,NA,NA,"BRD-A42737819","Unknown","Unknown",NA
"brd-a43087975",NA,NA,NA,"BRD-A43087975","Unknown","Unknown",NA
"brd-a43155244",NA,NA,NA,"BRD-A43155244","Unknown","Unknown",NA
"brd-a43640821",NA,NA,NA,"BRD-A43640821","Unknown","Unknown",NA
"brd-a45657137",NA,NA,NA,"BRD-A45657137","Unknown","Unknown",NA
"brd-a45664787",NA,NA,NA,"BRD-A45664787","platelet aggregation inhibitor, prostanoid receptor agonist","platelet aggregation inhibitor, prostanoid receptor agonist",NA
"brd-a47714657",NA,NA,NA,"BRD-A47714657","Unknown","Unknown",NA
"brd-a47816767",NA,NA,NA,"BRD-A47816767","Unknown","Unknown",NA
"brd-a47832959",NA,NA,NA,"BRD-A47832959","Unknown","Unknown",NA
"brd-a48631911",NA,NA,NA,"BRD-A48631911","T-type calcium channel blocker","T-type calcium channel blocker",NA
"brd-a49848186",NA,NA,NA,"BRD-A49848186","Unknown","Unknown",NA
"brd-a50388635",NA,NA,NA,"BRD-A50388635","Unknown","Unknown",NA
"brd-a50774520",NA,NA,NA,"BRD-A50774520","Unknown","Unknown",NA
"brd-a51777634",NA,NA,NA,"BRD-A51777634","Unknown","Unknown",NA
"brd-a52193669",NA,NA,NA,"BRD-A52193669","Unknown","Unknown",NA
"brd-a54077041",NA,NA,NA,"BRD-A54077041","Unknown","Unknown",NA
"brd-a54632525",NA,NA,NA,"BRD-A54632525","Unknown","Unknown",NA
"brd-a55554369",NA,NA,NA,"BRD-A55554369","Unknown","Unknown",NA
"brd-a57107094",NA,NA,NA,"BRD-A57107094","Unknown","Unknown",NA
"brd-a58924247",NA,NA,NA,"BRD-A58924247","Unknown","Unknown",NA
"brd-a59145032",NA,NA,NA,"BRD-A59145032","Unknown","Unknown",NA
"brd-a60245366",NA,NA,NA,"BRD-A60245366","Unknown","Unknown",NA
"brd-a60784279",NA,NA,NA,"BRD-A60784279","Unknown","Unknown",NA
"brd-a61825514",NA,NA,NA,"BRD-A61825514","Unknown","Unknown",NA
"brd-a61858259",NA,NA,NA,"BRD-A61858259","Unknown","Unknown",NA
"brd-a62809825",NA,NA,NA,"BRD-A62809825","Unknown","Unknown",NA
"brd-a63583287",NA,NA,NA,"BRD-A63583287","Unknown","Unknown",NA
"brd-a64479082",NA,NA,NA,"BRD-A64479082","sodium channel blocker","sodium channel blocker",NA
"brd-a65327625",NA,NA,NA,"BRD-A65327625","Unknown","Unknown",NA
"brd-a66395008",NA,NA,NA,"BRD-A66395008","NFkB pathway inhibitor","NFkB pathway inhibitor",NA
"brd-a67438293",NA,NA,NA,"BRD-A67438293","Unknown","Unknown",NA
"brd-a67552655",NA,NA,NA,"BRD-A67552655","carnitine palmitoyltransferase inhibitor","carnitine palmitoyltransferase inhibitor",NA
"brd-a67605442",NA,NA,NA,"BRD-A67605442","Unknown","Unknown",NA
"brd-a68061604",NA,NA,NA,"BRD-A68061604","Unknown","Unknown",NA
"brd-a68065211",NA,NA,NA,"BRD-A68065211","Unknown","Unknown",NA
"brd-a68739437",NA,NA,NA,"BRD-A68739437","Unknown","Unknown",NA
"brd-a68930007 (ouabain)",NA,NA,NA,"BRD-A68930007","ATPase inhibitor","ATPase inhibitor",NA
"brd-a69429454",NA,NA,NA,"BRD-A69429454","Unknown","Unknown",NA
"brd-a70311631",NA,NA,NA,"BRD-A70311631","Unknown","Unknown",NA
"brd-a71707563",NA,NA,NA,"BRD-A71707563","Unknown","Unknown",NA
"brd-a72837804",NA,NA,NA,"BRD-A72837804","Unknown","Unknown",NA
"brd-a74771556",NA,NA,NA,"BRD-A74771556","Unknown","Unknown",NA
"brd-a74983348",NA,NA,NA,"BRD-A74983348","Unknown","Unknown",NA
"brd-a75301702",NA,NA,NA,"BRD-A75301702","Unknown","Unknown",NA
"brd-a75409952 (wortmannin)",NA,NA,NA,"BRD-A75409952","PI3K inhibitor","PI3K inhibitor",NA
"brd-a75931230",NA,NA,NA,"BRD-A75931230","Unknown","Unknown",NA
"brd-a76019558",NA,NA,NA,"BRD-A76019558","sterol demethylase inhibitor","sterol demethylase inhibitor",NA
"brd-a76641868",NA,NA,NA,"BRD-A76641868","Unknown","Unknown",NA
"brd-a77467113",NA,NA,NA,"BRD-A77467113","Unknown","Unknown",NA
"brd-a80383043",NA,NA,NA,"BRD-A80383043","glutamate receptor agonist, glutamate receptor antagonist","glutamate receptor agonist, glutamate receptor antagonist",NA
"brd-a80536908",NA,NA,NA,"BRD-A80536908","Unknown","Unknown",NA
"brd-a80574334",NA,NA,NA,"BRD-A80574334","Unknown","Unknown",NA
"brd-a80960055",NA,NA,NA,"BRD-A80960055","Unknown","Unknown",NA
"brd-a81282034",NA,NA,NA,"BRD-A81282034","Unknown","Unknown",NA
"brd-a81530502",NA,NA,NA,"BRD-A81530502","Unknown","Unknown",NA
"brd-a81541225",NA,NA,NA,"BRD-A81541225","ATP synthase inhibitor, ATPase inhibitor","ATP synthase inhibitor, ATPase inhibitor",NA
"brd-a82197375",NA,NA,NA,"BRD-A82197375","Unknown","Unknown",NA
"brd-a82238138 (budesonide)",NA,NA,NA,"BRD-A82238138","glucocorticoid receptor agonist","glucocorticoid receptor agonist",NA
"brd-a82307304",NA,NA,NA,"BRD-A82307304","HMGCR inhibitor","HMGCR inhibitor",NA
"brd-a82628254",NA,NA,NA,"BRD-A82628254","Unknown","Unknown",NA
"brd-a83124583",NA,NA,NA,"BRD-A83124583","Unknown","Unknown",NA
"brd-a83255679",NA,NA,NA,"BRD-A83255679","Unknown","Unknown",NA
"brd-a83802330",NA,NA,NA,"BRD-A83802330","Unknown","Unknown",NA
"brd-a84102390",NA,NA,NA,"BRD-A84102390","Unknown","Unknown",NA
"brd-a84327315",NA,NA,NA,"BRD-A84327315","vitamin D receptor agonist","vitamin D receptor agonist",NA
"brd-a84524947",NA,NA,NA,"BRD-A84524947","Unknown","Unknown",NA
"brd-a84909344",NA,NA,NA,"BRD-A84909344","Unknown","Unknown",NA
"brd-a85712510",NA,NA,NA,"BRD-A85712510","Unknown","Unknown",NA
"brd-a85891951",NA,NA,NA,"BRD-A85891951","Unknown","Unknown",NA
"brd-a86792397",NA,NA,NA,"BRD-A86792397","Unknown","Unknown",NA
"brd-a87848830",NA,NA,NA,"BRD-A87848830","prostanoid receptor agonist","prostanoid receptor agonist",NA
"brd-a89049230",NA,NA,NA,"BRD-A89049230","Unknown","Unknown",NA
"brd-a89333723",NA,NA,NA,"BRD-A89333723","Unknown","Unknown",NA
"brd-a89352139",NA,NA,NA,"BRD-A89352139","Unknown","Unknown",NA
"brd-a89907244",NA,NA,NA,"BRD-A89907244","Unknown","Unknown",NA
"brd-a90643929",NA,NA,NA,"BRD-A90643929","Unknown","Unknown",NA
"brd-a93015352",NA,NA,NA,"BRD-A93015352","Unknown","Unknown",NA
"brd-a93393712",NA,NA,NA,"BRD-A93393712","Unknown","Unknown",NA
"brd-a94377914",NA,NA,NA,"BRD-A94377914","Unknown","Unknown",NA
"brd-a94570195",NA,NA,NA,"BRD-A94570195","Unknown","Unknown",NA
"brd-a94793051",NA,NA,NA,"BRD-A94793051","progesterone receptor antagonist","progesterone receptor antagonist",NA
"brd-a95445494",NA,NA,NA,"BRD-A95445494","Unknown","Unknown",NA
"brd-a95696820",NA,NA,NA,"BRD-A95696820","AMPK activator","AMPK activator",NA
"brd-a96272097",NA,NA,NA,"BRD-A96272097","Unknown","Unknown",NA
"brd-a97833537",NA,NA,NA,"BRD-A97833537","Unknown","Unknown",NA
"brd-a98248982",NA,NA,NA,"BRD-A98248982","Unknown","Unknown",NA
"brd-a98444709",NA,NA,NA,"BRD-A98444709","Unknown","Unknown",NA
"brd-k00007652",NA,NA,NA,"BRD-K00007652","Unknown","Unknown",NA
"brd-k00028814",NA,NA,NA,"BRD-K00028814","Unknown","Unknown",NA
"brd-k00313977",NA,NA,NA,"BRD-K00313977","Unknown","Unknown",NA
"brd-k00317371",NA,NA,NA,"BRD-K00317371","MDM inhibitor","MDM inhibitor",NA
"brd-k00366212",NA,NA,NA,"BRD-K00366212","Unknown","Unknown",NA
"brd-k00430421",NA,NA,NA,"BRD-K00430421","Unknown","Unknown",NA
"brd-k00486725",NA,NA,NA,"BRD-K00486725","Unknown","Unknown",NA
"brd-k00541156",NA,NA,NA,"BRD-K00541156","Unknown","Unknown",NA
"brd-k00551481",NA,NA,NA,"BRD-K00551481","Unknown","Unknown",NA
"brd-k00555438",NA,NA,NA,"BRD-K00555438","Unknown","Unknown",NA
"brd-k00627859",NA,NA,NA,"BRD-K00627859","HDAC inhibitor","HDAC inhibitor",NA
"brd-k00816165",NA,NA,NA,"BRD-K00816165","Unknown","Unknown",NA
"brd-k00824317 (flurandrenolide)",NA,NA,NA,"BRD-K00824317","glucocorticoid receptor agonist","glucocorticoid receptor agonist",NA
"brd-k00859168",NA,NA,NA,"BRD-K00859168","Unknown","Unknown",NA
"brd-k00944562",NA,NA,NA,"BRD-K00944562","Unknown","Unknown",NA
"brd-k00954209",NA,NA,NA,"BRD-K00954209","Unknown","Unknown",NA
"brd-k01089529",NA,NA,NA,"BRD-K01089529","Unknown","Unknown",NA
"brd-k01436366",NA,NA,NA,"BRD-K01436366","leucine rich repeat kinase inhibitor","leucine rich repeat kinase inhibitor",NA
"brd-k01578344",NA,NA,NA,"BRD-K01578344","Unknown","Unknown",NA
"brd-k01602319",NA,NA,NA,"BRD-K01602319","Unknown","Unknown",NA
"brd-k01614657",NA,NA,NA,"BRD-K01614657","Unknown","Unknown",NA
"brd-k01806521",NA,NA,NA,"BRD-K01806521","Unknown","Unknown",NA
"brd-k01834163",NA,NA,NA,"BRD-K01834163","Unknown","Unknown",NA
"brd-k01868942",NA,NA,NA,"BRD-K01868942","serotonin receptor antagonist","serotonin receptor antagonist",NA
"brd-k01896723",NA,NA,NA,"BRD-K01896723","Unknown","Unknown",NA
"brd-k02113016",NA,NA,NA,"BRD-K02113016","PARP inhibitor","PARP inhibitor",NA
"brd-k02123250",NA,NA,NA,"BRD-K02123250","tyrosine kinase inhibitor","tyrosine kinase inhibitor",NA
"brd-k02174945",NA,NA,NA,"BRD-K02174945","Unknown","Unknown",NA
"brd-k02216544",NA,NA,NA,"BRD-K02216544","Unknown","Unknown",NA
"brd-k02223034",NA,NA,NA,"BRD-K02223034","Unknown","Unknown",NA
"brd-k02458594",NA,NA,NA,"BRD-K02458594","Unknown","Unknown",NA
"brd-k02558072",NA,NA,NA,"BRD-K02558072","Unknown","Unknown",NA
"brd-k02562327",NA,NA,NA,"BRD-K02562327","Unknown","Unknown",NA
"brd-k02589376",NA,NA,NA,"BRD-K02589376","Unknown","Unknown",NA
